,LocationID,Borough,Zone,service_zone,city_coord
104,105,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,"[40.68945009999999, -74.016792]"
105,106,Brooklyn,Gowanus,Boro Zone,"[40.6733364, -73.9903489]"
106,107,Manhattan,Gramercy,Yellow Zone,"[40.7367783, -73.9844722]"
107,108,Brooklyn,Gravesend,Boro Zone,"[51.44188399999999, 0.370759]"
108,109,Staten Island,Great Kills,Boro Zone,"[40.5543273, -74.156292]"
109,110,Staten Island,Great Kills Park,Boro Zone,"[40.54875740000001, -74.1268624]"
110,111,Brooklyn,Green-Wood Cemetery,Boro Zone,"[40.65807789999999, -73.9948493]"
111,112,Brooklyn,Greenpoint,Boro Zone,"[40.7245448, -73.9418603]"
112,113,Manhattan,Greenwich Village North,Yellow Zone,"[40.7335719, -74.0027418]"
113,114,Manhattan,Greenwich Village South,Yellow Zone,"[40.7335719, -74.0027418]"
114,115,Staten Island,Grymes Hill/Clifton,Boro Zone,"[40.6187151, -74.09347509999999]"
115,116,Manhattan,Hamilton Heights,Boro Zone,"[40.8259597, -73.9496079]"
116,117,Queens,Hammels/Arverne,Boro Zone,"[40.592658, -73.7977928]"
117,118,Staten Island,Heartland Village/Todt Hill,Boro Zone,"[40.5807663, -74.16803469999999]"
118,119,Bronx,Highbridge,Boro Zone,"[40.8384699, -73.9271644]"
119,120,Manhattan,Highbridge Park,Boro Zone,"[40.8446296, -73.9329638]"
120,121,Queens,Hillcrest/Pomonok,Boro Zone,"[40.7336439, -73.81240369999999]"
121,122,Queens,Hollis,Boro Zone,"[42.74251659999999, -71.58953439999999]"
122,123,Brooklyn,Homecrest,Boro Zone,"[46.431465, -95.131433]"
123,124,Queens,Howard Beach,Boro Zone,"[40.6571222, -73.8429989]"
124,125,Manhattan,Hudson Sq,Yellow Zone,"[40.7265834, -74.0074731]"
125,126,Bronx,Hunts Point,Boro Zone,"[40.8120246, -73.8801301]"
126,127,Manhattan,Inwood,Boro Zone,"[40.8677145, -73.9212019]"
127,128,Manhattan,Inwood Hill Park,Boro Zone,"[40.8722007, -73.9255549]"
128,129,Queens,Jackson Heights,Boro Zone,"[40.7556818, -73.8830701]"
129,130,Queens,Jamaica,Boro Zone,"[18.109581, -77.297508]"
130,131,Queens,Jamaica Estates,Boro Zone,"[40.7178539, -73.7742616]"
131,132,Queens,JFK Airport,Airports,"[40.6413111, -73.77813909999999]"
132,133,Brooklyn,Kensington,Boro Zone,"[37.3419943, -95.23432299999999]"
133,134,Queens,Kew Gardens,Boro Zone,"[51.4787438, -0.295573]"
134,135,Queens,Kew Gardens Hills,Boro Zone,"[40.7384986, -73.81068540000001]"
135,136,Bronx,Kingsbridge Heights,Boro Zone,"[40.8698472, -73.8982631]"
136,137,Manhattan,Kips Bay,Yellow Zone,"[40.74232920000001, -73.9800645]"
137,138,Queens,LaGuardia Airport,Airports,"[40.7769271, -73.8739659]"
138,139,Queens,Laurelton,Boro Zone,"[40.6740861, -73.74484369999999]"
139,140,Manhattan,Lenox Hill East,Yellow Zone,"[40.7662315, -73.9602312]"
140,141,Manhattan,Lenox Hill West,Yellow Zone,"[40.7662315, -73.9602312]"
141,142,Manhattan,Lincoln Square East,Yellow Zone,"[40.77382799999999, -73.9844722]"
142,143,Manhattan,Lincoln Square West,Yellow Zone,"[40.77382799999999, -73.9844722]"
143,144,Manhattan,Little Italy/NoLiTa,Yellow Zone,"[40.7205409, -73.9966188]"
144,145,Queens,Long Island City/Hunters Point,Boro Zone,"[40.74803379999999, -73.9506774]"
145,146,Queens,Long Island City/Queens Plaza,Boro Zone,"[40.7509846, -73.9402762]"
146,147,Bronx,Longwood,Boro Zone,"[39.871271, -75.67472029999999]"
147,148,Manhattan,Lower East Side,Yellow Zone,"[40.715033, -73.9842724]"
148,149,Brooklyn,Madison,Boro Zone,"[43.0730517, -89.4012302]"
149,150,Brooklyn,Manhattan Beach,Boro Zone,"[33.8847361, -118.4109089]"
150,151,Manhattan,Manhattan Valley,Yellow Zone,"[40.796989, -73.969707]"
151,152,Manhattan,Manhattanville,Boro Zone,"[41.0304301, -73.7126803]"
152,153,Manhattan,Marble Hill,Boro Zone,"[40.8761173, -73.9102628]"
153,154,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone,"[40.5910174, -73.89060909999999]"
154,155,Brooklyn,Marine Park/Mill Basin,Boro Zone,"[40.6188928, -73.9246109]"
155,156,Staten Island,Mariners Harbor,Boro Zone,"[41.9181579, -73.98303829999999]"
156,157,Queens,Maspeth,Boro Zone,"[40.7294018, -73.9065883]"
157,158,Manhattan,Meatpacking/West Village West,Yellow Zone,"[40.7396236, -74.0038026]"
158,159,Bronx,Melrose South,Boro Zone,"[29.3550853, -98.5311967]"
159,160,Queens,Middle Village,Boro Zone,"[40.717372, -73.87425]"
160,161,Manhattan,Midtown Center,Yellow Zone,"[36.3731089, -94.21004719999999]"
161,162,Manhattan,Midtown East,Yellow Zone,"[40.7540369, -73.9668408]"
162,163,Manhattan,Midtown North,Yellow Zone,"[40.7611007, -73.9680109]"
163,164,Manhattan,Midtown South,Yellow Zone,"[40.7549309, -73.9840195]"
164,165,Brooklyn,Midwood,Boro Zone,"[40.6190629, -73.96537150000002]"
165,166,Manhattan,Morningside Heights,Boro Zone,"[40.8089564, -73.96243270000001]"
